ID_Transaksi,Tanggal_Transaksi,Nama_Produk,Kategori_Produk,Nama_Pelanggan,Kota,Channel_Penjualan,Jumlah_Beli,Harga_Satuan,Diskon_Persen,Kode_Status_Pengiriman
TRX025,2024-02-13 12:10:30,Apple Watch Series 9,Aksesoris,Indra Maulana,Medan,Mobile App,2,7500000,5,DLV-02
TRX026,2024-02-13 17:00:15,MacBook Air M2,Laptop,Joko Susilo,Jakarta,Website,1,23000000,10,DLV-02
TRX027,2024-02-14 21:30:50,JBL Charge 5,Audio,Kartika Sari,Semarang,In-Store,1,2500000,0,DLV-02
TRX028,2024-02-14 14:00:45,Samsung Odyssey G9,Monitor,Lina Marlina,Surabaya,Mobile App,1,28000000,15,SHP-01
TRX029,2024-02-14 11:00:00,Logitech MX Master 3S,Aksesoris,Mega Wati,Jakarta,Website,1,1800000,5,DLV-02
TRX030,2024-02-15 18:30:30,Google Pixel 8,Smartphone,Nanda Putra,Bandung,Mobile App,1,15000000,10,RTN-03
TRX031,2024-02-15 13:00:10,AirPods Pro 2,Audio,Putri Amelia,Jakarta,In-Store,1,4000000,0,DLV-02
TRX032,2024-02-15 16:00:00,ASUS ROG Zephyrus G14,Laptop,Siti Lestari ,Bandung,Website,1,29500000,15,DLV-02
TRX033,2024-02-16 18:20:20,Anker PowerCore 10000,Aksesoris,Budi Santoso,Jakarta,Mobile App,1,500000,5,DLV-02
TRX034,2024-02-16 20:45:00,LG UltraGear 27,Monitor,Agus Wijaya,Jakarta,Website,1,9500000,10,CNL-04
TRX035,2024-02-16 14:30:40,Xiaomi 14,Smartphone,Dewi Puspita,Surabaya,In-Store,1,12000000,0,DLV-02
TRX036,2024-02-17 11:50:10,Lenovo ThinkPad X1 Carbon,Laptop,Hana Yuliana,Jakarta,Mobile App,1,35000000,15,SHP-01
TRX037,2024-02-17 09:15:00,Bose QuietComfort Ultra,Audio, Eko Prasetyo ,Yogyakarta,Website,1,6200000,5,DLV-02
TRX038,2024-02-17 10:30:00,HP Spectre x360,Laptop,Fitri Handayani,Bandung,Mobile App,1,26000000,10,DLV-02
TRX039,2024-02-18 17:00:00,Samsung Galaxy Watch 6,Aksesoris,Gilang Ramadhan,Surabaya,In-Store,2,5000000,0,DLV-02
TRX040,2024-02-18 19:40:00,Razer Blade 15,Laptop,Budi Santoso,Jakarta,Website,1,42000000,15,SHP-01
TRX041,2024-03-10 09:00:00,iPhone 15,Smartphone, Indra Maulana,Medan,Website,1,21000000,10,DLV-02
TRX042,2024-03-10 16:00:00,Samsung Galaxy S24,Smartphone,Joko Susilo,Jakarta,Mobile App,1,18500000,10,DLV-02
TRX043,2024-03-10 20:30:00,Sony WH-1000XM5,Audio,Kartika Sari,Semarang,In-Store,1,5500000,0,DLV-02
TRX044,2024-03-11 10:00:00,Dell XPS 15,Laptop,Lina Marlina,Surabaya,Website,1,32000000,15,SHP-01
TRX045,2024-03-11 12:45:00,Apple Watch Series 9,Aksesoris,Mega Wati,Jakarta,Mobile App,1,7500000,5,DLV-02
TRX046,2024-03-11 17:30:00,MacBook Air M2,Laptop,Nanda Putra,Bandung,Website,1,23000000,10,DLV-02
TRX047,2024-03-12 22:00:00,JBL Charge 5,Audio,Putri Amelia,Jakarta,In-Store,1,2500000,0,RTN-03
TRX048,2024-03-12 14:30:00,Samsung Odyssey G9,Monitor,Siti Lestari ,Bandung,Mobile App,1,28000000,15,SHP-01
TRX049,2024-03-12 11:30:00,Logitech MX Master 3S,Aksesoris,Budi Santoso,Jakarta,Website,2,1800000,5,DLV-02
TRX050,2024-03-13 19:00:00,Google Pixel 8,Smartphone,Agus Wijaya,Jakarta,Mobile App,1,15000000,10,DLV-02
TRX051,2024-03-13 13:30:00,AirPods Pro 2,Audio,Dewi Puspita,Surabaya,In-Store,1,4000000,0,DLV-02
TRX052,2024-03-13 16:30:00,ASUS ROG Zephyrus G14,Laptop, Eko Prasetyo ,Yogyakarta,Website,1,29500000,15,DLV-02
TRX053,2024-03-14 18:50:00,Anker PowerCore 10000,Aksesoris,Fitri Handayani,Bandung,Mobile App,1,500000,5,DLV-02
TRX054,2024-03-14 21:15:00,LG UltraGear 27,Monitor,Gilang Ramadhan,Surabaya,Website,1,9500000,10,DLV-02
TRX055,2024-03-14 15:00:00,Xiaomi 14,Smartphone,Hana Yuliana,Jakarta,In-Store,1,12000000,0,DLV-02
TRX056,2024-03-15 12:20:00,Lenovo ThinkPad X1 Carbon,Laptop,Joko Susilo,Jakarta,Mobile App,1,35000000,15,SHP-01
TRX057,2024-03-15 09:45:00,Bose QuietComfort Ultra,Audio,Indra Maulana,Medan,Website,1,6200000,5,CNL-04
TRX058,2024-03-15 11:00:00,HP Spectre x360,Laptop,Kartika Sari,Semarang,Mobile App,1,26000000,10,DLV-02
TRX059,2024-03-16 17:30:00,Samsung Galaxy Watch 6,Aksesoris,Lina Marlina,Surabaya,In-Store,1,5000000,0,DLV-02
TRX060,2024-03-16 20:10:00,Razer Blade 15,Laptop,Budi Santoso,Jakarta,Website,1,42000000,15,SHP-01
TRX061,2024-04-01 10:00:00,iPhone 15,Smartphone,Mega Wati,Jakarta,Website,1,21000000,10,DLV-02
TRX062,2024-04-01 16:30:00,Samsung Galaxy S24,Smartphone,Nanda Putra,Bandung,Mobile App,1,18500000,10,DLV-02
TRX063,2024-04-01 21:00:00,Sony WH-1000XM5,Audio,Putri Amelia,Jakarta,In-Store,1,5500000,0,DLV-02
TRX064,2024-04-02 10:30:00,Dell XPS 15,Laptop,Siti Lestari ,Bandung,Website,1,32000000,15,SHP-01
TRX065,2024-04-02 13:15:00,Apple Watch Series 9,Aksesoris,Budi Santoso,Jakarta,Mobile App,1,7500000,5,DLV-02
TRX066,2024-04-02 18:00:00,MacBook Air M2,Laptop,Agus Wijaya,Jakarta,Website,1,23000000,10,DLV-02
TRX067,2024-04-03 22:30:00,JBL Charge 5,Audio,Dewi Puspita,Surabaya,In-Store,2,2500000,0,DLV-02
TRX068,2024-04-03 15:00:00,Samsung Odyssey G9,Monitor, Eko Prasetyo ,Yogyakarta,Mobile App,1,28000000,15,SHP-01
TRX069,2024-04-03 12:00:00,Logitech MX Master 3S,Aksesoris,Fitri Handayani,Bandung,Website,1,1800000,5,DLV-02
TRX070,2024-04-04 19:30:00,Google Pixel 8,Smartphone,Gilang Ramadhan,Surabaya,Mobile App,1,15000000,10,DLV-02
TRX071,2024-04-04 14:00:00,AirPods Pro 2,Audio,Hana Yuliana,Jakarta,In-Store,1,4000000,0,DLV-02
TRX072,2024-04-04 17:00:00,ASUS ROG Zephyrus G14,Laptop,Indra Maulana,Medan,Website,1,29500000,15,RTN-03
TRX073,2024-04-05 19:20:00,Anker PowerCore 10000,Aksesoris,Joko Susilo,Jakarta,Mobile App,1,500000,5,DLV-02
TRX074,2024-04-05 21:45:00,LG UltraGear 27,Monitor,Kartika Sari,Semarang,Website,1,9500000,10,DLV-02
TRX075,2024-04-05 15:30:00,Xiaomi 14,Smartphone,Lina Marlina,Surabaya,In-Store,1,12000000,0,DLV-02
TRX076,2024-04-06 12:50:00,Lenovo ThinkPad X1 Carbon,Laptop,Nanda Putra,Bandung,Mobile App,1,35000000,15,SHP-01
TRX077,2024-04-06 10:15:00,Bose QuietComfort Ultra,Audio,Mega Wati,Jakarta,Website,1,6200000,5,DLV-02
TRX078,2024-04-06 11:30:00,HP Spectre x360,Laptop,Putri Amelia,Jakarta,Mobile App,1,26000000,10,CNL-04
TRX079,2024-04-07 18:00:00,Samsung Galaxy Watch 6,Aksesoris,Siti Lestari ,Bandung,In-Store,1,5000000,0,DLV-02
TRX080,2024-04-07 20:40:00,Razer Blade 15,Laptop,Budi Santoso,Jakarta,Website,1,42000000,15,SHP-01
TRX081,2024-05-20 08:30:00,iPhone 15,Smartphone,Agus Wijaya,Jakarta,Website,1,21000000,5,DLV-02
TRX082,2024-05-20 15:00:00,Samsung Galaxy S24,Smartphone,Dewi Puspita,Surabaya,Mobile App,1,18500000,5,DLV-02
TRX083,2024-05-20 19:30:00,Sony WH-1000XM5,Audio, Eko Prasetyo ,Yogyakarta,In-Store,1,5500000,0,DLV-02
TRX084,2024-05-21 10:00:00,Dell XPS 15,Laptop,Fitri Handayani,Bandung,Website,1,32000000,10,SHP-01
TRX085,2024-05-21 12:30:00,Apple Watch Series 9,Aksesoris,Gilang Ramadhan,Surabaya,Mobile App,1,7500000,5,DLV-02
TRX086,2024-05-21 17:00:00,MacBook Air M2,Laptop,Hana Yuliana,Jakarta,Website,1,23000000,10,DLV-02
TRX087,2024-05-22 21:30:00,JBL Charge 5,Audio,Indra Maulana,Medan,In-Store,1,2500000,0,DLV-02
TRX088,2024-05-22 14:00:00,Samsung Odyssey G9,Monitor,Joko Susilo,Jakarta,Mobile App,1,28000000,10,SHP-01
TRX089,2024-05-22 11:00:00,Logitech MX Master 3S,Aksesoris,Kartika Sari,Semarang,Website,1,1800000,5,DLV-02
TRX090,2024-05-23 18:30:00,Google Pixel 8,Smartphone,Lina Marlina,Surabaya,Mobile App,1,15000000,5,RTN-03
TRX091,2024-05-23 13:00:00,AirPods Pro 2,Audio,Mega Wati,Jakarta,In-Store,2,4000000,0,DLV-02
TRX092,2024-05-23 16:00:00,ASUS ROG Zephyrus G14,Laptop,Nanda Putra,Bandung,Website,1,29500000,10,DLV-02
TRX093,2024-05-24 18:20:00,Anker PowerCore 10000,Aksesoris,Putri Amelia,Jakarta,Mobile App,1,500000,5,DLV-02
TRX094,2024-05-24 20:45:00,LG UltraGear 27,Monitor,Siti Lestari ,Bandung,Website,1,9500000,5,DLV-02
TRX095,2024-05-24 14:30:00,Xiaomi 14,Smartphone,Budi Santoso,Jakarta,In-Store,1,12000000,0,DLV-02
TRX096,2024-05-25 11:50:00,Lenovo ThinkPad X1 Carbon,Laptop,Agus Wijaya,Jakarta,Mobile App,1,35000000,10,SHP-01
TRX097,2024-05-25 09:15:00,Bose QuietComfort Ultra,Audio,Dewi Puspita,Surabaya,Website,1,6200000,5,DLV-02
TRX098,2024-05-25 10:30:00,HP Spectre x360,Laptop, Eko Prasetyo ,Yogyakarta,Mobile App,1,26000000,5,CNL-04
TRX099,2024-05-26 17:00:00,Samsung Galaxy Watch 6,Aksesoris,Fitri Handayani,Bandung,In-Store,1,5000000,0,DLV-02
TRX100,2024-05-26 19:40:00,Razer Blade 15,Laptop,Budi Santoso,Jakarta,Website,1,42000000,10,SHP-01
TRX101,2024-06-15 09:00:00,iPhone 15,Smartphone,Gilang Ramadhan,Surabaya,Website,1,21000000,15,DLV-02
TRX102,2024-06-15 16:00:00,Samsung Galaxy S24,Smartphone,Hana Yuliana,Jakarta,Mobile App,1,18500000,15,DLV-02
TRX103,2024-06-15 20:30:00,Sony WH-1000XM5,Audio,Indra Maulana,Medan,In-Store,1,5500000,0,DLV-02
TRX104,2024-06-16 10:00:00,Dell XPS 15,Laptop,Joko Susilo,Jakarta,Website,1,32000000,20,SHP-01
TRX105,2024-06-16 12:45:00,Apple Watch Series 9,Aksesoris,Kartika Sari,Semarang,Mobile App,1,7500000,10,DLV-02
TRX106,2024-06-16 17:30:00,MacBook Air M2,Laptop,Lina Marlina,Surabaya,Website,1,23000000,15,DLV-02
TRX107,2024-06-17 22:00:00,JBL Charge 5,Audio,Mega Wati,Jakarta,In-Store,1,2500000,0,DLV-02
TRX108,2024-06-17 14:30:00,Samsung Odyssey G9,Monitor,Nanda Putra,Bandung,Mobile App,1,28000000,20,SHP-01
TRX109,2024-06-17 11:30:00,Logitech MX Master 3S,Aksesoris,Putri Amelia,Jakarta,Website,1,1800000,10,DLV-02
TRX110,2024-06-18 19:00:00,Google Pixel 8,Smartphone,Siti Lestari ,Bandung,Mobile App,1,15000000,15,DLV-02
TRX111,2024-06-18 13:30:00,AirPods Pro 2,Audio,Budi Santoso,Jakarta,In-Store,1,4000000,0,DLV-02
TRX112,2024-06-18 16:30:00,ASUS ROG Zephyrus G14,Laptop,Agus Wijaya,Jakarta,Website,1,29500000,20,RTN-03
TRX113,2024-06-19 18:50:00,Anker PowerCore 10000,Aksesoris,Dewi Puspita,Surabaya,Mobile App,2,500000,10,DLV-02
TRX114,2024-06-19 21:15:00,LG UltraGear 27,Monitor, Eko Prasetyo ,Yogyakarta,Website,1,9500000,15,DLV-02
TRX115,2024-06-19 15:00:00,Xiaomi 14,Smartphone,Fitri Handayani,Bandung,In-Store,1,12000000,0,DLV-02
TRX116,2024-06-20 12:20:00,Lenovo ThinkPad X1 Carbon,Laptop,Gilang Ramadhan,Surabaya,Mobile App,1,35000000,20,SHP-01
TRX117,2024-06-20 09:45:00,Bose QuietComfort Ultra,Audio,Hana Yuliana,Jakarta,Website,1,6200000,10,DLV-02
TRX118,2024-06-20 11:00:00,HP Spectre x360,Laptop,Indra Maulana,Medan,Mobile App,1,26000000,15,DLV-02
TRX119,2024-06-21 17:30:00,Samsung Galaxy Watch 6,Aksesoris,Joko Susilo,Jakarta,In-Store,1,5000000,0,CNL-04
TRX120,2024-06-21 20:10:00,Razer Blade 15,Laptop,Budi Santoso,Jakarta,Website,1,42000000,20,SHP-01
TRX121,2024-07-05 09:00:00,iPhone 15,Smartphone,Kartika Sari,Semarang,Website,1,21000000,5,DLV-02
TRX122,2024-07-05 16:00:00,Samsung Galaxy S24,Smartphone,Lina Marlina,Surabaya,Mobile App,1,18500000,5,DLV-02
TRX123,2024-07-05 20:30:00,Sony WH-1000XM5,Audio,Mega Wati,Jakarta,In-Store,1,5500000,0,DLV-02
TRX124,2024-07-06 10:00:00,Dell XPS 15,Laptop,Nanda Putra,Bandung,Website,1,32000000,10,SHP-01
TRX125,2024-07-06 12:45:00,Apple Watch Series 9,Aksesoris,Putri Amelia,Jakarta,Mobile App,1,7500000,5,DLV-02
TRX126,2024-07-06 17:30:00,MacBook Air M2,Laptop,Siti Lestari ,Bandung,Website,1,23000000,10,DLV-02
TRX127,2024-07-07 22:00:00,JBL Charge 5,Audio,Budi Santoso,Jakarta,In-Store,1,2500000,0,DLV-02
TRX128,2024-07-07 14:30:00,Samsung Odyssey G9,Monitor,Agus Wijaya,Jakarta,Mobile App,1,28000000,10,SHP-01
TRX129,2024-07-07 11:30:00,Logitech MX Master 3S,Aksesoris,Dewi Puspita,Surabaya,Website,1,1800000,5,DLV-02
TRX130,2024-07-08 19:00:00,Google Pixel 8,Smartphone, Eko Prasetyo ,Yogyakarta,Mobile App,1,15000000,5,DLV-02
TRX131,2024-07-08 13:30:00,AirPods Pro 2,Audio,Fitri Handayani,Bandung,In-Store,1,4000000,0,RTN-03
TRX132,2024-07-08 16:30:00,ASUS ROG Zephyrus G14,Laptop,Gilang Ramadhan,Surabaya,Website,1,29500000,10,DLV-02
TRX133,2024-07-09 18:50:00,Anker PowerCore 10000,Aksesoris,Hana Yuliana,Jakarta,Mobile App,1,500000,5,DLV-02
TRX134,2024-07-09 21:15:00,LG UltraGear 27,Monitor,Indra Maulana,Medan,Website,1,9500000,5,DLV-02
TRX135,2024-07-09 15:00:00,Xiaomi 14,Smartphone,Joko Susilo,Jakarta,In-Store,1,12000000,0,DLV-02
TRX136,2024-07-10 12:20:00,Lenovo ThinkPad X1 Carbon,Laptop,Kartika Sari,Semarang,Mobile App,1,35000000,10,SHP-01
TRX137,2024-07-10 09:45:00,Bose QuietComfort Ultra,Audio,Lina Marlina,Surabaya,Website,1,6200000,5,DLV-02
TRX138,2024-07-10 11:00:00,HP Spectre x360,Laptop,Mega Wati,Jakarta,Mobile App,1,26000000,5,DLV-02
TRX139,2024-07-11 17:30:00,Samsung Galaxy Watch 6,Aksesoris,Nanda Putra,Bandung,In-Store,1,5000000,0,DLV-02
TRX140,2024-07-11 20:10:00,Razer Blade 15,Laptop,Budi Santoso,Jakarta,Website,1,42000000,10,SHP-01
TRX141,2024-08-01 10:00:00,iPhone 15,Smartphone,Putri Amelia,Jakarta,Website,1,21000000,15,DLV-02
TRX142,2024-08-01 16:30:00,Samsung Galaxy S24,Smartphone,Siti Lestari ,Bandung,Mobile App,1,18500000,15,DLV-02
TRX143,2024-08-01 21:00:00,Sony WH-1000XM5,Audio,Budi Santoso,Jakarta,In-Store,1,5500000,0,CNL-04
TRX144,2024-08-02 10:30:00,Dell XPS 15,Laptop,Agus Wijaya,Jakarta,Website,1,32000000,20,SHP-01
TRX145,2024-08-02 13:15:00,Apple Watch Series 9,Aksesoris,Dewi Puspita,Surabaya,Mobile App,1,7500000,10,DLV-02
TRX146,2024-08-02 18:00:00,MacBook Air M2,Laptop, Eko Prasetyo ,Yogyakarta,Website,1,23000000,15,DLV-02
TRX147,2024-08-03 22:30:00,JBL Charge 5,Audio,Fitri Handayani,Bandung,In-Store,1,2500000,0,DLV-02
TRX148,2024-08-03 15:00:00,Samsung Odyssey G9,Monitor,Gilang Ramadhan,Surabaya,Mobile App,1,28000000,20,SHP-01
TRX149,2024-08-03 12:00:00,Logitech MX Master 3S,Aksesoris,Hana Yuliana,Jakarta,Website,1,1800000,10,DLV-02
TRX150,2024-08-04 19:30:00,Google Pixel 8,Smartphone,Indra Maulana,Medan,Mobile App,1,15000000,15,DLV-02
TRX151,2024-08-04 14:00:00,AirPods Pro 2,Audio,Joko Susilo,Jakarta,In-Store,1,4000000,0,DLV-02
TRX152,2024-08-04 17:00:00,ASUS ROG Zephyrus G14,Laptop,Kartika Sari,Semarang,Website,1,29500000,20,DLV-02
TRX153,2024-08-05 19:20:00,Anker PowerCore 10000,Aksesoris,Lina Marlina,Surabaya,Mobile App,3,500000,10,DLV-02
TRX154,2024-08-05 21:45:00,LG UltraGear 27,Monitor,Mega Wati,Jakarta,Website,1,9500000,15,DLV-02
TRX155,2024-08-05 15:30:00,Xiaomi 14,Smartphone,Nanda Putra,Bandung,In-Store,1,12000000,0,DLV-02
TRX156,2024-08-06 12:50:00,Lenovo ThinkPad X1 Carbon,Laptop,Siti Lestari ,Bandung,Mobile App,1,35000000,20,SHP-01
TRX157,2024-08-06 10:15:00,Bose QuietComfort Ultra,Audio,Putri Amelia,Jakarta,Website,1,6200000,10,RTN-03
TRX158,2024-08-06 11:30:00,HP Spectre x360,Laptop,Budi Santoso,Jakarta,Mobile App,1,26000000,15,DLV-02
TRX159,2024-08-07 18:00:00,Samsung Galaxy Watch 6,Aksesoris,Agus Wijaya,Jakarta,In-Store,1,5000000,0,DLV-02
TRX160,2024-08-07 20:40:00,Razer Blade 15,Laptop,Budi Santoso,Jakarta,Website,1,42000000,20,SHP-01
TRX161,2024-09-11 08:30:00,iPhone 15,Smartphone,Dewi Puspita,Surabaya,Website,1,21000000,5,DLV-02
TRX162,2024-09-11 15:00:00,Samsung Galaxy S24,Smartphone, Eko Prasetyo ,Yogyakarta,Mobile App,1,18500000,5,DLV-02
TRX163,2024-09-11 19:30:00,Sony WH-1000XM5,Audio,Fitri Handayani,Bandung,In-Store,1,5500000,0,DLV-02
TRX164,2024-09-12 10:00:00,Dell XPS 15,Laptop,Gilang Ramadhan,Surabaya,Website,1,32000000,10,SHP-01
TRX165,2024-09-12 12:30:00,Apple Watch Series 9,Aksesoris,Hana Yuliana,Jakarta,Mobile App,1,7500000,5,DLV-02
TRX166,2024-09-12 17:00:00,MacBook Air M2,Laptop,Indra Maulana,Medan,Website,1,23000000,10,DLV-02
TRX167,2024-09-13 21:30:00,JBL Charge 5,Audio,Joko Susilo,Jakarta,In-Store,1,2500000,0,DLV-02
TRX168,2024-09-13 14:00:00,Samsung Odyssey G9,Monitor,Kartika Sari,Semarang,Mobile App,1,28000000,10,SHP-01
TRX169,2024-09-13 11:00:00,Logitech MX Master 3S,Aksesoris,Lina Marlina,Surabaya,Website,1,1800000,5,DLV-02
TRX170,2024-09-14 18:30:00,Google Pixel 8,Smartphone,Mega Wati,Jakarta,Mobile App,1,15000000,5,DLV-02
TRX171,2024-09-14 13:00:00,AirPods Pro 2,Audio,Nanda Putra,Bandung,In-Store,1,4000000,0,DLV-02
TRX172,2024-09-14 16:00:00,ASUS ROG Zephyrus G14,Laptop,Putri Amelia,Jakarta,Website,1,29500000,10,DLV-02
TRX173,2024-09-15 18:20:00,Anker PowerCore 10000,Aksesoris,Siti Lestari ,Bandung,Mobile App,1,500000,5,CNL-04
TRX174,2024-09-15 20:45:00,LG UltraGear 27,Monitor,Budi Santoso,Jakarta,Website,1,9500000,5,DLV-02
TRX175,2024-09-15 14:30:00,Xiaomi 14,Smartphone,Agus Wijaya,Jakarta,In-Store,1,12000000,0,DLV-02
TRX176,2024-09-16 11:50:00,Lenovo ThinkPad X1 Carbon,Laptop,Dewi Puspita,Surabaya,Mobile App,1,35000000,10,SHP-01
TRX177,2024-09-16 09:15:00,Bose QuietComfort Ultra,Audio, Eko Prasetyo ,Yogyakarta,Website,1,6200000,5,DLV-02
TRX178,2024-09-16 10:30:00,HP Spectre x360,Laptop,Fitri Handayani,Bandung,Mobile App,1,26000000,5,DLV-02
TRX179,2024-09-17 17:00:00,Samsung Galaxy Watch 6,Aksesoris,Gilang Ramadhan,Surabaya,In-Store,1,5000000,0,RTN-03
TRX180,2024-09-17 19:40:00,Razer Blade 15,Laptop,Budi Santoso,Jakarta,Website,1,42000000,10,SHP-01
TRX181,2024-10-25 09:00:00,iPhone 15,Smartphone,Hana Yuliana,Jakarta,Website,1,21000000,15,DLV-02
TRX182,2024-10-25 16:00:00,Samsung Galaxy S24,Smartphone,Indra Maulana,Medan,Mobile App,1,18500000,15,DLV-02
TRX183,2024-10-25 20:30:00,Sony WH-1000XM5,Audio,Joko Susilo,Jakarta,In-Store,2,5500000,0,DLV-02
TRX184,2024-10-26 10:00:00,Dell XPS 15,Laptop,Kartika Sari,Semarang,Website,1,32000000,20,SHP-01
TRX185,2024-10-26 12:45:00,Apple Watch Series 9,Aksesoris,Lina Marlina,Surabaya,Mobile App,1,7500000,10,DLV-02
TRX186,2024-10-26 17:30:00,MacBook Air M2,Laptop,Mega Wati,Jakarta,Website,1,23000000,15,DLV-02
TRX187,2024-10-27 22:00:00,JBL Charge 5,Audio,Nanda Putra,Bandung,In-Store,1,2500000,0,DLV-02
TRX188,2024-10-27 14:30:00,Samsung Odyssey G9,Monitor,Putri Amelia,Jakarta,Mobile App,1,28000000,20,SHP-01
TRX189,2024-10-27 11:30:00,Logitech MX Master 3S,Aksesoris,Siti Lestari ,Bandung,Website,1,1800000,10,DLV-02
TRX190,2024-10-28 19:00:00,Google Pixel 8,Smartphone,Budi Santoso,Jakarta,Mobile App,1,15000000,15,DLV-02
TRX191,2024-10-28 13:30:00,AirPods Pro 2,Audio,Agus Wijaya,Jakarta,In-Store,1,4000000,0,DLV-02
TRX192,2024-10-28 16:30:00,ASUS ROG Zephyrus G14,Laptop,Dewi Puspita,Surabaya,Website,1,29500000,20,DLV-02
TRX193,2024-10-29 18:50:00,Anker PowerCore 10000,Aksesoris, Eko Prasetyo ,Yogyakarta,Mobile App,1,500000,10,DLV-02
TRX194,2024-10-29 21:15:00,LG UltraGear 27,Monitor,Fitri Handayani,Bandung,Website,1,9500000,15,DLV-02
TRX195,2024-10-29 15:00:00,Xiaomi 14,Smartphone,Gilang Ramadhan,Surabaya,In-Store,1,12000000,0,DLV-02
TRX196,2024-10-30 12:20:00,Lenovo ThinkPad X1 Carbon,Laptop,Hana Yuliana,Jakarta,Mobile App,1,35000000,20,SHP-01
TRX197,2024-10-30 09:45:00,Bose QuietComfort Ultra,Audio,Indra Maulana,Medan,Website,1,6200000,10,DLV-02
TRX198,2024-10-30 11:00:00,HP Spectre x360,Laptop,Joko Susilo,Jakarta,Mobile App,1,26000000,15,CNL-04
TRX199,2024-10-31 17:30:00,Samsung Galaxy Watch 6,Aksesoris,Kartika Sari,Semarang,In-Store,1,5000000,0,DLV-02
TRX200,2024-10-31 20:10:00,Razer Blade 15,Laptop,Budi Santoso,Jakarta,Website,1,42000000,20,SHP-01
TRX201,2024-11-15 09:00:00,iPhone 15,Smartphone,Lina Marlina,Surabaya,Website,1,21000000,5,DLV-02
TRX202,2024-11-15 16:00:00,Samsung Galaxy S24,Smartphone,Mega Wati,Jakarta,Mobile App,1,18500000,5,RTN-03
TRX203,2024-11-15 20:30:00,Sony WH-1000XM5,Audio,Nanda Putra,Bandung,In-Store,1,5500000,0,DLV-02
TRX204,2024-11-16 10:00:00,Dell XPS 15,Laptop,Putri Amelia,Jakarta,Website,1,32000000,10,SHP-01
